project_id,bhk,carpet_sqft,base_price_inr,image_url,last_updated_at,updated_by,version,approved_for_ai,record_status,stale_note
PRJ001,1BHK,480,9800000,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ001,2BHK,690,14200000,https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ002,1BHK,505,12800000,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ002,2BHK,780,15000000,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ003,1BHK,460,8900000,https://images.unsplash.com/photo-1600585154340-be6161a56a0c,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ003,2BHK,665,12900000,https://images.unsplash.com/photo-1600607688969-a5bfcd646154,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ004,1BHK,475,7600000,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ004,2BHK,710,11800000,https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ005,2BHK,735,13500000,https://images.unsplash.com/photo-1600607688969-a5bfcd646154,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ005,3BHK,990,14900000,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ006,1BHK,520,7200000,https://images.unsplash.com/photo-1600585154340-be6161a56a0c,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ006,2BHK,760,11200000,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ007,2BHK,745,10800000,https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ007,3BHK,1040,14900000,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ008,1BHK,490,8500000,https://images.unsplash.com/photo-1600585154340-be6161a56a0c,2026-06-01T00:00:00Z,seed_script,1,False,active,Price under revision after cost-sheet audit; do not quote until finance re-approves.
PRJ008,2BHK,725,12500000,https://images.unsplash.com/photo-1600607688969-a5bfcd646154,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ009,2BHK,805,9800000,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ009,3BHK,1120,14500000,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ010,1BHK,455,7900000,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d,2026-09-12T00:00:00Z,seed_script,1,True,active,
PRJ010,2BHK,680,12100000,https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea,2026-09-12T00:00:00Z,seed_script,1,True,active,
